place,player,player_key,league,movement,country,points
341,Shuo Liang En,2574,WTA,down,Taiwan,182
342,Julieta Pareja,32553,WTA,down,USA,180
343,Mika Stojsavljevic,63495,WTA,down,United Kingdom,180
344,Monika Ekstrand,68739,WTA,down,USA,178
345,Valeriya Strakhova,148,WTA,down,Ukraine,178
346,Samira De Stefano,37984,WTA,down,Italy,178
347,Ekaterina Makarova,524,WTA,down,World,177
348,Tatiana Pieri,1426,WTA,down,Italy,177
349,Miriana Tona,22868,WTA,down,Italy,176
350,Katarina Zavatska,480,WTA,down,Ukraine,176
351,Saki Imamura,1359,WTA,same,Japan,176
352,Maria Mateas,111,WTA,up,USA,174
353,Lea Ma,53951,WTA,up,USA,174
354,Astrid Lew Yan Foon,14241,WTA,down,France,174
355,Jenny Duerst,2260,WTA,down,Switzerland,174
356,Kristina Dmitruk,2298,WTA,up,World,173
357,Fangran Tian,13672,WTA,down,China,173
358,Maria Tig Patricia,3128,WTA,up,Romania,172
359,Martyna Kubka,2295,WTA,same,Poland,172
360,Vivian Wolff,13506,WTA,down,USA,171
361,Ane Mintegi Del Olmo,9267,WTA,down,Spain,169
362,Cristina Diaz Adrover,64290,WTA,down,Spain,169
363,Alexis Blokhina,1412,WTA,down,USA,168
364,Denislava Glushkova,10906,WTA,down,Bulgaria,168
365,Diletta Cherubini,1016,WTA,same,Italy,166
366,Martina Capurro Taborda,1960,WTA,same,Argentina,166
367,Francesca Curmi,145,WTA,up,Malta,166
368,Carolyn Ansari,40166,WTA,down,USA,164
369,Yidi Yang,,WTA,down,China,163
370,Victoria Rodriguez,5922,WTA,down,Mexico,162
371,Sayaka Ishii,37885,WTA,down,Japan,161
372,Carlota Martinez Cirez,144,WTA,down,Spain,161
373,Haley Giavara,1429,WTA,down,USA,161
374,Miho Kuramochi,1052,WTA,down,Japan,161
375,Jia-Jing Lu,1002,WTA,up,China,160
376,Ikumi Yamazaki,13990,WTA,same,Japan,160
377,Julie Struplova,15563,WTA,down,Czech Republic,160
378,Katarina Kuzmova,13326,WTA,up,Slovakia,160
379,Xinxin Yao,46,WTA,up,China,159
380,Emily Appleton,2598,WTA,up,United Kingdom,158
381,Victoria Bosio,4019,WTA,down,Argentina,158
382,Momoko Kobori,7356,WTA,down,Japan,157
383,Eryn Cayetano,38190,WTA,down,USA,155
