"player","svc_matches","svc_aces_per_game","svc_dfs_per_game","svc_ace_to_df_ratio","svc_first_serve_pct","svc_first_serve_win_pct","svc_second_serve_win_pct","svc_service_pts_win_pct","svc_bp_save_pct","svc_hold_pct","tour","window","surface","ret_matches","ret_opp_aces_per_game","ret_opp_dfs_per_game","ret_opp_first_serve_pct","ret_first_return_win_pct","ret_second_return_win_pct","ret_return_pts_win_pct","ret_bp_win_pct","ret_opp_hold_pct"
"213943",13,0.19047619047619047,0.4217687074829932,0.45161290322580644,0.6653543307086615,0.643491124260355,0.45,0.5787401574803149,0.6083333333333333,0.6802721088435374,"WTA","2026 ytd","hard",13,0.12987012987012986,0.2857142857142857,0.673407482305359,0.4159159159159159,0.5758513931888545,0.468149646107179,0.4957983193277311,0.6168831168831169
"215166",12,0.17692307692307693,0.36153846153846153,0.48936170212765956,0.6845238095238095,0.5843478260869566,0.4641509433962264,0.5464285714285714,0.5412844036697247,0.6153846153846154,"WTA","2026 ytd","hard",12,0.1640625,0.390625,0.7037037037037037,0.3963815789473685,0.578125,0.4502314814814815,0.45714285714285713,0.625
"215329",4,0.3404255319148936,0.14893617021276595,2.2857142857142856,0.6584615384615384,0.5700934579439252,0.5045045045045045,0.5476923076923077,0.5333333333333333,0.5531914893617021,"WTA","2026 ytd","hard",4,0.15217391304347827,0.391304347826087,0.6811145510835913,0.4,0.5242718446601942,0.4396284829721362,0.3541666666666667,0.6304347826086957
"215755",13,0.24444444444444444,0.37777777777777777,0.6470588235294118,0.6724137931034483,0.6233974358974359,0.4440789473684211,0.5646551724137931,0.5428571428571428,0.6444444444444445,"WTA","2026 ytd","hard",13,0.4057971014492754,0.30434782608695654,0.6908893709327549,0.3657770800627943,0.5754385964912281,0.43058568329718006,0.4673913043478261,0.6884057971014492
"215773",1,0,0.14285714285714285,0,0.7078651685393258,0.5873015873015873,0.5384615384615384,0.5730337078651685,0.5454545454545454,0.6428571428571429,"WTA","2026 ytd","hard",1,0.6428571428571429,0.21428571428571427,0.5742574257425742,0.3448275862068966,0.5348837209302326,0.4257425742574258,0.36363636363636365,0.7142857142857143
"215775",1,0.3,0.1,3,0.6129032258064516,0.5789473684210527,0.25,0.45161290322580644,0.36363636363636365,0.3,"WTA","2026 ytd","hard",1,0,0.2727272727272727,0.6190476190476191,0.41025641025641024,0.5416666666666667,0.46031746031746035,0.6666666666666666,0.6363636363636364
"217828",9,0.125,0.5208333333333334,0.24,0.6237785016286646,0.6657963446475196,0.38961038961038963,0.5618892508143323,0.5697674418604651,0.6145833333333334,"WTA","2026 ytd","hard",9,0.5510204081632653,0.336734693877551,0.63,0.3306878306878307,0.5765765765765766,0.42166666666666663,0.40540540540540543,0.6938775510204082
"218347",5,0.11904761904761904,0.30952380952380953,0.38461538461538464,0.7669172932330827,0.5637254901960784,0.4032258064516129,0.5263157894736842,0.5333333333333333,0.5,"WTA","2026 ytd","hard",5,0.16279069767441862,0.3023255813953488,0.7931034482758621,0.2934782608695652,0.47916666666666663,0.3318965517241379,0.4666666666666667,0.8372093023255814
"220592",9,0.0967741935483871,0.2903225806451613,0.3333333333333333,0.7503852080123267,0.5975359342915811,0.4012345679012346,0.5485362095531587,0.6428571428571429,0.6774193548387096,"WTA","2026 ytd","hard",9,0.16304347826086957,0.32608695652173914,0.6825657894736842,0.42409638554216866,0.5958549222797928,0.4786184210526315,0.5138888888888888,0.5978260869565217
"221362",4,0.125,0.5357142857142857,0.23333333333333334,0.7424242424242424,0.5224489795918368,0.36470588235294116,0.4818181818181818,0.38636363636363635,0.5178571428571429,"WTA","2026 ytd","hard",4,0.2830188679245283,0.5094339622641509,0.7182044887780549,0.36458333333333337,0.6283185840707964,0.4389027431421446,0.32,0.6981132075471698
"221410",13,0.7032258064516129,0.5096774193548387,1.379746835443038,0.6029268292682927,0.7233009708737864,0.4176904176904177,0.6019512195121951,0.5855855855855856,0.7032258064516129,"WTA","2026 ytd","hard",13,0.13245033112582782,0.304635761589404,0.6539923954372624,0.32122093023255816,0.5219780219780219,0.3906844106463878,0.38461538461538464,0.7019867549668874
"222183",2,0.17647058823529413,0.29411764705882354,0.6,0.6063829787234043,0.5087719298245614,0.3783783783783784,0.4574468085106383,0.35714285714285715,0.47058823529411764,"WTA","2026 ytd","hard",2,0.13333333333333333,0.4,0.6326530612244898,0.25806451612903225,0.4444444444444444,0.326530612244898,0.3333333333333333,0.8666666666666667
"222826",9,0.3644067796610169,0.16101694915254236,2.263157894736842,0.606951871657754,0.6740088105726872,0.43537414965986393,0.5802139037433155,0.5333333333333333,0.7033898305084746,"WTA","2026 ytd","hard",9,0.17796610169491525,0.22033898305084745,0.6416337285902504,0.3039014373716632,0.5367647058823529,0.38735177865612647,0.4418604651162791,0.6779661016949152
"222977",2,0.16666666666666666,0.2222222222222222,0.75,0.6695652173913044,0.5584415584415584,0.5,0.5391304347826087,0.5,0.6111111111111112,"WTA","2026 ytd","hard",2,0.4444444444444444,0.16666666666666666,0.7524752475247525,0.32894736842105265,0.6,0.39603960396039606,0.75,0.6666666666666666
"223130",8,0.08860759493670886,0.3037974683544304,0.2916666666666667,0.808300395256917,0.5647921760391198,0.4020618556701031,0.5335968379446641,0.5774647887323944,0.620253164556962,"WTA","2026 ytd","hard",8,0.175,0.3125,0.7693965517241379,0.4453781512605042,0.44859813084112155,0.4461206896551724,0.53125,0.575
"227014",5,0.2909090909090909,0.18181818181818182,1.6,0.7370030581039755,0.5933609958506224,0.5581395348837209,0.5840978593272171,0.5121951219512195,0.6363636363636364,"WTA","2026 ytd","hard",5,0.14814814814814814,0.2777777777777778,0.7240356083086054,0.3811475409836066,0.4946236559139785,0.41246290801186947,0.4782608695652174,0.5925925925925926
"227431",16,0.38953488372093026,0.26744186046511625,1.4565217391304348,0.6567441860465116,0.6713881019830028,0.4363143631436314,0.5906976744186047,0.6120689655172413,0.7383720930232558,"WTA","2026 ytd","hard",16,0.20833333333333334,0.25,0.6748898678414097,0.3877284595300261,0.5745257452574526,0.44845814977973564,0.391025641025641,0.6369047619047619
"227875",4,0.0975609756097561,0.2926829268292683,0.3333333333333333,0.6434426229508197,0.5477707006369427,0.4367816091954023,0.5081967213114754,0.3,0.4878048780487805,"WTA","2026 ytd","hard",4,0.19047619047619047,0.21428571428571427,0.6914498141263941,0.34946236559139787,0.5662650602409638,0.4163568773234201,0.46153846153846156,0.7142857142857143
"228272",8,0.3333333333333333,0.20987654320987653,1.588235294117647,0.615234375,0.6857142857142857,0.4873096446700508,0.609375,0.5818181818181818,0.7160493827160493,"WTA","2026 ytd","hard",8,0.21686746987951808,0.20481927710843373,0.668488160291439,0.44141689373297,0.5879120879120879,0.48998178506375223,0.5064935064935064,0.5301204819277109
"230056",6,0.391304347826087,0.2318840579710145,1.6875,0.6834862385321101,0.7181208053691275,0.4927536231884058,0.6467889908256881,0.7142857142857143,0.855072463768116,"WTA","2026 ytd","hard",6,0.12121212121212122,0.3333333333333333,0.6709677419354839,0.33333333333333337,0.5882352941176471,0.41720430107526885,0.41818181818181815,0.6515151515151515
"230384",7,0.45588235294117646,0.29411764705882354,1.55,0.5800970873786407,0.702928870292887,0.5144508670520231,0.6237864077669902,0.6176470588235294,0.8088235294117647,"WTA","2026 ytd","hard",7,0.29850746268656714,0.47761194029850745,0.6352657004830918,0.33460076045627374,0.5496688741721854,0.4130434782608695,0.3902439024390244,0.7611940298507462
"230628",11,0.32456140350877194,0.4298245614035088,0.7551020408163265,0.6474358974358975,0.6613861386138614,0.4727272727272727,0.5948717948717949,0.611764705882353,0.7105263157894737,"WTA","2026 ytd","hard",11,0.3247863247863248,0.4017094017094017,0.631979695431472,0.3674698795180723,0.5896551724137931,0.449238578680203,0.46875,0.6153846153846154
"230984",12,0.319672131147541,0.20491803278688525,1.56,0.6963226571767497,0.6439522998296422,0.44140625,0.5824436536180309,0.6105263157894737,0.6967213114754098,"WTA","2026 ytd","hard",12,0.12698412698412698,0.29365079365079366,0.6925,0.4151624548736462,0.5447154471544715,0.45499999999999996,0.4444444444444444,0.6190476190476191
"231208",2,0.13333333333333333,0.13333333333333333,1,0.6782608695652174,0.5897435897435898,0.5135135135135135,0.5652173913043478,0.6666666666666666,0.6666666666666666,"WTA","2026 ytd","hard",2,0.4375,0.375,0.6095238095238096,0.3125,0.5365853658536586,0.4,0.3333333333333333,0.75
"232651",6,0.17647058823529413,0.19117647058823528,0.9230769230769231,0.6397058823529411,0.632183908045977,0.5034013605442177,0.5857843137254902,0.6,0.7352941176470589,"WTA","2026 ytd","hard",6,0.15942028985507245,0.30434782608695654,0.6627906976744186,0.368421052631579,0.5517241379310345,0.43023255813953487,0.3559322033898305,0.6956521739130435
"233214",8,0.25,0.3157894736842105,0.7916666666666666,0.6569037656903766,0.554140127388535,0.5487804878048781,0.5523012552301255,0.5925925925925926,0.7105263157894737,"WTA","2026 ytd","hard",8,0.1891891891891892,0.4189189189189189,0.6408730158730159,0.4055727554179567,0.5524861878453038,0.45833333333333337,0.41935483870967744,0.6486486486486487
"235052",4,0.18181818181818182,0.030303030303030304,6,0.6938775510204082,0.6323529411764706,0.5833333333333334,0.6173469387755102,0.5294117647058824,0.7575757575757576,"WTA","2026 ytd","hard",4,0.11428571428571428,0.3142857142857143,0.616580310880829,0.4453781512605042,0.6486486486486487,0.5233160621761659,0.7391304347826086,0.5142857142857142
