"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Adrian Mannarino","7","0.31","0.21","66.1","34.8","49.5","39.8","33.3","76.7"
"Quentin Halys","7","0.36","0.17","66.1","24.4","47","32","39.4","87"
"Matteo Berrettini","7","0.32","0.28","66.1","29.4","49","36.1","38.2","81.9"
"Nicolai Budkov Kjaer","5","0.31","0.11","66","31","49.2","37.2","50","80.3"
"Marton Fucsovics","13","0.29","0.18","66","32.7","57.1","41","42.5","69.8"
"Aleksandar Vukic","8","0.37","0.1","65.9","28.1","41","32.5","35.9","86.4"
"Taro Daniel","4","0.57","0.12","65.9","23.1","32.9","26.5","44.4","90.5"
"Marc-Andrea Huesler","3","0.28","0.1","65.9","27.1","46.5","33.7","23.5","89.7"
"Felipe Meligeni Rodrigues Alves","7","0.73","0.22","65.8","30.6","51.6","37.8","33.9","77.1"
"Geoffrey Blancaneaux","3","0.16","0.04","65.8","38.2","66","47.7","42.3","56"
"Valentin Royer","5","0.4","0.25","65.7","35.9","48.2","40.1","41.8","72.3"
"Stan Wawrinka","8","0.24","0.32","65.7","32.3","52.7","39.3","36.1","73.5"
"Vilius Gaubas","12","0.19","0.2","65.6","35.8","54.3","42.2","49.4","68.5"
"Giulio Zeppieri","10","0.24","0.3","65.4","34.7","45","38.2","50","72.5"
"Giovanni Mpetshi Perricard","8","0.33","0.19","65.4","24.2","37.4","28.8","37.9","89.7"
"Kyrian Jacquet","5","0.23","0.23","65.4","33.4","60.1","42.7","37.3","71.2"
"Jurij Rodionov","5","0.77","0.23","65.1","30.2","46.4","35.9","37.9","77.1"
"Zizou Bergs","7","0.43","0.21","65.1","29.9","43","34.5","38.1","80.5"
"Damir Dzumhur","27","0.23","0.17","65.1","37.6","49.5","41.7","43.1","70.7"
"Ugo Blanchet","7","0.24","0.26","65","33.2","48.5","38.6","33.3","75.6"
"Diego Dedura-Palomero","6","0.4","0.25","64.9","28.4","50","36","37.5","83.6"
"Brandon Nakashima","12","0.34","0.27","64.8","29.5","54.9","38.4","47.8","76.8"
"Dmitry Popko","3","0.47","0.12","64.7","25.3","52.4","34.9","33.3","82.4"
"Ethan Quinn","16","0.35","0.18","64.5","28.1","50.2","36","40.5","79.8"
"Camilo Ugo Carabelli","29","0.33","0.18","64.3","32.2","51.4","39","41.2","74.9"
"Thiago Seyboth Wild","16","0.46","0.21","64.3","30.7","48.1","36.9","35.7","79.9"
