tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-02-16,135,Darja Semenistaja,23.3,1671.1,,152.0,1596.4,93.0,1654.0,122.0,1556.3,,1736.4,2025-10,,97.0,0.33
WTA,2026-02-16,136,Darja Vidmanova,23.0,1670.1,,128.0,1641.1,210.0,1491.0,172.0,1489.9,,1692.3,2025-09,,123.0,0.1
WTA,2026-02-16,137,Moyuka Uchijima,24.4,1665.8,,134.0,1627.8,106.0,1629.0,189.0,1469.4,,1822.8,2025-04,,90.0,0.42
WTA,2026-02-16,138,Joanna Garland,24.5,1665.5,,139.0,1621.0,149.0,1565.8,144.0,1531.3,,1703.0,2026-01,,127.0,0.08
WTA,2026-02-16,139,Julia Grabher,29.6,1661.2,,215.0,1503.4,88.0,1669.9,242.0,1428.3,,1695.8,2026-01,,81.0,0.54
WTA,2026-02-16,140,Tatiana Prozorova,22.3,1659.5,,130.0,1632.8,143.0,1577.6,160.0,1504.7,,1730.1,2025-02,,166.0,-0.17
WTA,2026-02-16,141,Anastasia Zakharova,24.0,1658.8,,142.0,1615.8,181.0,1523.6,97.0,1594.4,,1706.7,2024-10,,104.0,0.3
WTA,2026-02-16,142,Tamara Korpatsch,30.7,1658.7,,143.0,1613.1,111.0,1622.2,210.0,1454.1,,1717.5,2022-10,,106.0,0.29
WTA,2026-02-16,143,Viktoriya Tomova,30.9,1654.0,,147.0,1604.3,125.0,1605.0,125.0,1551.3,,1752.1,2024-06,,153.0,-0.07
WTA,2026-02-16,144,Bernarda Pera,31.1,1653.3,,146.0,1609.7,96.0,1640.4,131.0,1544.8,,1843.1,2022-08,,174.0,-0.19
WTA,2026-02-16,145,Ana Bogdan,33.1,1652.2,,131.0,1632.7,120.0,1608.4,105.0,1578.8,,1826.3,2023-07,,648.0,-1.5
WTA,2026-02-16,146,Jil Teichmann,28.1,1650.6,,144.0,1612.4,114.0,1615.9,228.0,1439.1,,1922.9,2022-05,,175.0,-0.18
WTA,2026-02-16,147,Maddison Inglis,28.0,1649.6,,137.0,1621.7,214.0,1485.8,159.0,1506.3,,1649.6,2026-01,,125.0,0.16
WTA,2026-02-16,148,Daria Saville,31.4,1648.0,,138.0,1621.4,135.0,1586.2,151.0,1517.6,,1971.3,2017-01,,222.0,-0.41
